ranking,player_name,jorsey_name,country,tournaments,points
1,Viktor Axelsen,AXELSEN,Denmark,15,101355
2,Anthony Sinisuka Ginting,GINTING,Indonesia,19,86611
3,Shi Feng Li,LI,China,23,81948
4,Jonatan Christie,CHRISTIE,Indonesia,18,81871
5,Kodai Naraoka,NARAOKA,Japan,23,80915
6,Kunlavut Vitidsarn,VITIDSARN,Thailand,18,79778
7,Yu Qi Shi,SHI,China,21,76874
8,H. S. Prannoy,PRANNOY,India,19,76037
9,Kean Yew Loh,LOH,Singapore,23,71062
10,Anders Antonsen,ANTONSEN,Denmark,19,66610
11,Zii Jia Lee,LEE,Malaysia,23,66496
12,Kenta Nishimoto,NISHIMOTO,Japan,25,61757
13,Tien Chen Chou,CHOU,Chinese Taipei,25,60867
14,Guang Zu Lu,LU,China,21,60850
15,Tze Yong Ng,NG,Malaysia,24,59940
16,Kanta Tsuneyama,TSUNEYAMA,Japan,23,59721
17,Lakshya Sen,SEN,India,21,57851
18,Hong Yang Weng,WENG,China,20,56440
19,Cheuk Yiu Lee,LEE,Hong Kong China,25,55934
20,Ka Long Angus Ng,NG,Hong Kong China,24,54522
21,Chun-Yi Lin,LIN,Chinese Taipei,26,49328
22,Srikanth Kidambi,KIDAMBI,India,21,49233
23,Chico  Aura Dwi Wardoyo,WARDOYO,Indonesia,19,49064
24,Toma Junior Popov,POPOV,France,22,47587
25,Brian Yang,YANG,Canada,26,47086
26,Koki Watanabe,WATANABE,Japan,15,44737
27,Rasmus Gemke,GEMKE,Denmark,13,43789
28,Tzu Wei Wang,WANG,Chinese Taipei,21,42820
29,Christo Popov,POPOV,France,21,40811
30,Priyanshu Rajawat,RAJAWAT,India,15,40170
31,Magnus Johannesen,JOHANNESEN,Denmark,20,39630
32,Kantaphon Wangcharoen,WANGCHAROEN,Thailand,21,38024
33,Jun Peng Zhao,ZHAO,China,16,37668
34,Li  Yang Su,SU,Chinese Taipei,20,37350
35,Kiran George,GEORGE,India,18,34910
36,Takuma Obayashi,OBAYASHI,Japan,11,34570
37,Chia Hao Lee,LEE,Chinese Taipei,20,34298
38,Misha Zilberman,ZILBERMAN,Israel,19,33814
39,Nhat Nguyen,NGUYEN,Ireland,21,33469
40,Kevin Cordon,CORDON,Guatemala,14,32582
41,Arnaud Merkle,MERKLE,France,15,32450
42,Yu Jen Chi,CHI,Chinese Taipei,20,31570
43,Jun Hao Leong,LEONG,Malaysia,14,31258
44,Mads Christophersen,CHRISTOPHERSEN,Denmark,17,31240
45,Julien Carraggi,CARRAGGI,Belgium,23,30888
46,Shesar Hiren Rhustavito,RHUSTAVITO,Indonesia,10,30770
47,Ygor Coelho,COELHO,Brazil,16,30430
48,Lan Xi Lei,LEI,China,10,29577
49,Jan Louda,LOUDA,Czech Republic,18,29530
50,Uriel Francisco Canjura Artiga,ARTIGA,El Salvador,16,29300
51,Yushi Tanaka,TANAKA,Japan,14,28840
52,Kento Momota,MOMOTA,Japan,10,28700
53,Hyeok Jin Jeon,JEON,Korea,15,28369
54,Yu Kai Huang,HUANG,Chinese Taipei,17,28280
55,Mark Caljouw,CALJOUW,Netherlands,15,27815
56,Kalle Koljonen,KOLJONEN,Finland,18,27511
57,Jonathan Matias,MATIAS,Brazil,19,27281
58,Mithun Manjunath,MANJUNATH,India,17,26290
59,Alex Lanier,LANIER,France,12,26130
60,June Wei Cheam,CHEAM,Malaysia,19,24650
61,Ade Resky Dwicahyo,DWICAHYO,Azerbaijan,21,24330
62,Koo Takahashi,TAKAHASHI,Japan,13,23870
63,Victor Svendsen,SVENDSEN,Denmark,15,23860
64,Sitthikom Thammasin,THAMMASIN,Thailand,11,22584
65,Jia Heng Jason Teh,TEH,Singapore,16,22316
66,Pablo Abian,ABIAN,Spain,19,22010
67,Luís Enrique Peñalver,PEÑALVER,Spain,18,21993
68,Tommy Sugiarto,SUGIARTO,Indonesia,11,21910
69,Kai Schaefer,SCHAEFER,Germany,25,21828
70,S.Sankar Muthusamy Subramanian,SUBRAMANIAN,India,22,21670
71,Sathish Kumar Karunakaran,KARUNAKARAN,India,15,21460
72,Justin Hoh,HOH,Malaysia,7,21400
73,B. Sai Praneeth,PRANEETH,India,14,21220
74,Viren Nettasinghe,NETTASINGHE,Sri Lanka,15,21170
75,Dmitriy Panarin,PANARIN,Kazakhstan,17,21146
76,Duc Phat Le,LE,Vietnam,18,20970
77,Joo Ven Soong,SOONG,Malaysia,20,20860
78,Hans-Kristian Solberg Vittinghus,VITTINGHUS,Denmark,8,20850
79,Jhuo-Fu Liao,LIAO,Chinese Taipei,15,20773
80,Yin Chak Chan,CHAN,Hong Kong China,10,20730
81,Luis Ramon Garrido,GARRIDO,Mexico,13,20026
82,Howard Shu,SHU,USA,22,19909
83,Fabian Roth,ROTH,Germany,22,19890
84,Riku Hatano,HATANO,Japan,15,19870
85,Giovanni Toti,TOTI,Italy,21,19682
86,Christian Adinata,ADINATA,Indonesia,6,19640
87,Fabio Caponio,CAPONIO,Italy,19,19065
88,Sholeh Aidil,AIDIL,Malaysia,11,18510
89,Joran Kweekel,KWEEKEL,Netherlands,15,18383
90,Joakim Oldorff,OLDORFF,Finland,21,18310
91,Danylo Bosniuk,BOSNIUK,Ukraine,19,18238
92,Lucas Claerbout,CLAERBOUT,France,11,18070
93,Felix Burestedt,BURESTEDT,Sweden,12,17825
94,Collins Valentine Filimon,FILIMON,Austria,11,17770
95,Alwi Farhan,FARHAN,Indonesia,9,17700
96,Hai Dang Nguyen,NGUYEN,Vietnam,18,17650
97,Ikhsan Leonardo Imanuel Rumbay,RUMBAY,Indonesia,9,17020
98,Max Weisskirchen,WEISSKIRCHEN,Germany,17,16960
99,Sameer Verma,VERMA,India,7,16780
100,Po-Wei Wang,WANG,Chinese Taipei,10,16690
101,Anuoluwapo Juwon Opeyori,OPEYORI,Nigeria,12,16582
102,Daren Liew,LIEW,Malaysia,6,16550
103,Mark Shelley Alcala,ALCALA,USA,14,16430
104,Kuan Lin Kuo,KUO,Chinese Taipei,17,16050
105,Christopher Vittoriani,VITTORIANI,Italy,17,15820
106,Bahaedeen Ahmad Alshannik,ALSHANNIK,Jordan,15,15370
107,Alap Mishra,MISHRA,India,16,15120
108,Matthias Kicklitz,KICKLITZ,Germany,17,15000
109,Tobias Kuenzi,KUENZI,Switzerland,17,14947
110,Markus Barth,BARTH,Norway,21,14660
111,Jason Gunawan,GUNAWAN,Hong Kong China,9,14630
112,Daniil Dubovenko,DUBOVENKO,Israel,9,14600
113,Luka Wraber,WRABER,Austria,18,14593
114,Kuan-Ting Lin,LIN,Chinese Taipei,14,14540
115,Krishna Adi Nugraha,NUGRAHA,Indonesia,7,14420
116,Bernardo Atilano,ATILANO,Portugal,17,14388
117,Meiraba Luwang Maisnam,MAISNAM,India,19,14263
118,Kartikey Gulshan Kumar,KUMAR,India,12,14130
119,Nathan Tang,TANG,Australia,16,13990
120,Adham Hatem Elgamal,ELGAMAL,Egypt,18,13836
121,Yun Gyu Lee,LEE,Korea,9,13817
122,Chirag Sen,SEN,India,15,13780
123,Victor Lai,LAI,Canada,10,13780
124,Karan Rajan Rajarajan,RAJARAJAN,Denmark,13,13720
125,Enogat Roy,ROY,France,16,13406
126,Job Castillo,CASTILLO,Mexico,11,13390
